顧客ID,性別コード,年齢層,お仕事,お住まい,家族構成,趣味・関心事,最近の悩み,顧客プロフィール,会員ランク,年間購入額
67777275,男,37,事務職,広島県,既婚子あり（1人）,映画鑑賞、音楽,転職,広島県在住37歳男性。事務職として働く。趣味は映画鑑賞、音楽。,ブロンズ,188676
23803c47,男,30,ITエンジニア,宮城県,既婚子あり（1人）,料理、旅行、映画鑑賞、音楽,老後の資金,宮城県在住30歳男性。ITエンジニアとして働く。趣味は料理、旅行、映画鑑賞、音楽。,一般,46635
32b568ed,男,40,学生,大阪府,独身,ガーデニング、旅行,子供の教育,大阪府在住40歳男性。学生として働く。趣味はガーデニング、旅行。,ゴールド,162988
952604d8,女,56,学生,北海道,既婚子あり（2人以上）,ショッピング、スポーツ,ワークライフバランス,北海道在住56歳女性。学生として働く。趣味はショッピング、スポーツ。,一般,118455
36becf61,女,20,パート,埼玉県,既婚子あり（2人以上）,写真、ガーデニング、アウトドア、DIY,スキルアップ,埼玉県在住20歳女性。パートとして働く。趣味は写真、ガーデニング、アウトドア、DIY。,一般,206357
34c80942,男,68,教員,愛知県,独身,ガーデニング、スポーツ、旅行,ワークライフバランス,愛知県在住68歳男性。教員として働く。趣味はガーデニング、スポーツ、旅行。,ブロンズ,300562
3f28ab4e,女,24,学生,広島県,既婚子あり（1人）,料理、DIY,老後の資金,広島県在住24歳女性。学生として働く。趣味は料理、DIY。,ブロンズ,16726
9f9a3252,女,34,パート,埼玉県,独身,スポーツ、カフェ巡り、ガーデニング、料理,転職,埼玉県在住34歳女性。パートとして働く。趣味はスポーツ、カフェ巡り、ガーデニング、料理。,一般,103108
77a9c570,男,54,学生,広島県,既婚子あり（2人以上）,映画鑑賞、旅行,スキルアップ,広島県在住54歳男性。学生として働く。趣味は映画鑑賞、旅行。,シルバー,21014
5cdbc0f7,女,42,教員,北海道,既婚子あり（2人以上）,音楽、映画鑑賞、読書、DIY,老後の資金,北海道在住42歳女性。教員として働く。趣味は音楽、映画鑑賞、読書、DIY。,ブロンズ,380699
5c25feee,男,25,パート,東京都,既婚子あり（2人以上）,写真、アウトドア,人間関係,東京都在住25歳男性。パートとして働く。趣味は写真、アウトドア。,ゴールド,179060
7553c540,女,50,営業職,埼玉県,既婚子あり（1人）,ゲーム、映画鑑賞、ガーデニング,子供の教育,埼玉県在住50歳女性。営業職として働く。趣味はゲーム、映画鑑賞、ガーデニング。,一般,43683
f90f6e1c,男,43,教員,福岡県,独身,映画鑑賞、写真、音楽、アウトドア,住宅ローン,福岡県在住43歳男性。教員として働く。趣味は映画鑑賞、写真、音楽、アウトドア。,シルバー,489053
1f80d9c7,女,69,パート,宮城県,既婚子なし,ゲーム、写真、読書、旅行,副業,宮城県在住69歳女性。パートとして働く。趣味はゲーム、写真、読書、旅行。,一般,236587
0627ee03,男,67,ITエンジニア,神奈川県,独身,カフェ巡り、アウトドア、ガーデニング,スキルアップ,神奈川県在住67歳男性。ITエンジニアとして働く。趣味はカフェ巡り、アウトドア、ガーデニング。,ブロンズ,234924
9606880f,男,30,主婦,宮城県,既婚子なし,写真、読書、ショッピング,ワークライフバランス,宮城県在住30歳男性。主婦として働く。趣味は写真、読書、ショッピング。,シルバー,478416
76864494,女,25,管理職,埼玉県,既婚子なし,ゲーム、スポーツ,人間関係,埼玉県在住25歳女性。管理職として働く。趣味はゲーム、スポーツ。,ゴールド,272430
8c89035e,男,32,主婦,福岡県,独身,スポーツ、DIY,キャリアアップ,福岡県在住32歳男性。主婦として働く。趣味はスポーツ、DIY。,ゴールド,324626
09ae9b3a,女,25,フリーランス,埼玉県,既婚子なし,旅行、カフェ巡り、アウトドア、音楽,健康管理,埼玉県在住25歳女性。フリーランスとして働く。趣味は旅行、カフェ巡り、アウトドア、音楽。,ブロンズ,384217
d4e59689,女,41,パート,福岡県,既婚子なし,ガーデニング、映画鑑賞、DIY、ショッピング,スキルアップ,福岡県在住41歳女性。パートとして働く。趣味はガーデニング、映画鑑賞、DIY、ショッピング。,ブロンズ,374790
a9ec91a8,男,64,営業職,宮城県,既婚子あり（2人以上）,ガーデニング、音楽、ゲーム,ワークライフバランス,宮城県在住64歳男性。営業職として働く。趣味はガーデニング、音楽、ゲーム。,シルバー,413851
263f2201,女,41,販売スタッフ,愛知県,既婚子あり（2人以上）,音楽、ショッピング,転職,愛知県在住41歳女性。販売スタッフとして働く。趣味は音楽、ショッピング。,ブロンズ,444822
20eaee18,男,55,パート,宮城県,独身,読書、スポーツ、写真,副業,宮城県在住55歳男性。パートとして働く。趣味は読書、スポーツ、写真。,ブロンズ,38789
8755eefb,女,23,医療従事者,広島県,既婚子あり（1人）,カフェ巡り、DIY,ワークライフバランス,広島県在住23歳女性。医療従事者として働く。趣味はカフェ巡り、DIY。,シルバー,349128
932dc168,女,37,学生,千葉県,既婚子あり（1人）,アウトドア、カフェ巡り,転職,千葉県在住37歳女性。学生として働く。趣味はアウトドア、カフェ巡り。,ブロンズ,186778
9a7abfa5,男,31,事務職,東京都,既婚子あり（2人以上）,カフェ巡り、アウトドア、旅行、ショッピング,転職,東京都在住31歳男性。事務職として働く。趣味はカフェ巡り、アウトドア、旅行、ショッピング。,ゴールド,256576
3fc5bde5,男,40,フリーランス,福岡県,独身,写真、DIY、スポーツ,副業,福岡県在住40歳男性。フリーランスとして働く。趣味は写真、DIY、スポーツ。,ゴールド,178098
